505,773
530,763
551,764
569,769
579,776
581,791
594,802
616,812
625,823
640,826
652,836
662,842
672,847
687,854
708,857
730,867
747,876
774,874
794,873
813,872
833,870
845,870
862,868
869,865
883,869
893,884
904,878
905,863
915,849
931,835
948,828
965,834
976,840
988,839
993,828
994,815
995,807
1007,798
1007,798
1018,788
1025,784
1037,793
1040,799
1061,795
1069,787
1074,779
1084,774
1097,773
1110,767
1120,761
1125,762
1124,769
1136,769
1148,752
1164,753
1179,750
1209,748
1216,751
1223,751
1243,758
1268,762
1277,762
1290,770
1302,755
1356,747
1366,758
1396,760
1408,776
1408,776
1423,777
1473,817
1500,808
1514,818
1559,808
1568,826
1583,825
1587,813
1618,791
1621,776
1638,779
1641,761
1662,744
1668,719
1651,696
1663,651
1690,637
1713,645
1747,615
1761,599
1737,607
1724,576
1718,565
1695,571
1696,553
1720,456
1735,449
1710,400
1734,385
1747,378
1741,350
1762,334
1756,317
1744,319
1714,297
1704,313
1712,326
1696,338
1671,323
1641,329
1608,343
1597,334
1583,340
1567,318
1542,312
1539,326
1530,336
1516,320
1444,306
1406,315
1320,272
1275,266
1225,267
1197,289
1172,291
1153,278
1125,270
1108,262
1072,263
1072,271
1044,278
1033,263
1032,239
1045,219
1019,213
1016,192
1003,185
997,166
975,184
981,200
961,227
1001,260
999,283
985,297
967,275
949,275
953,260
949,253
934,255
926,250
875,280
849,267
829,250
814,229
807,217
798,223
789,213
771,208
750,207
727,201
703,196
676,203
652,226
631,248
610,258
587,269
556,281
527,284
512,285
507,280
504,248
497,232
497,215
491,213
471,225
447,215
436,204
414,213
398,221
382,231
377,242
376,252
372,265
360,269
353,259
335,273
330,284
299,278
301,268
281,253
277,256
283,265
281,270
291,278
265,268
258,271
244,263
225,267
238,276
252,278
278,278
283,293
295,293
306,305
241,301
228,303
218,294
212,314
226,320
233,312
243,329
221,345
209,339
207,371
189,376
211,381
215,411
191,419
179,417
179,417
174,430
165,436
156,423
138,435
123,446
130,457
134,446
146,453
144,467
138,464
131,486
143,489
155,475
155,475
159,462
157,454
177,452
205,461
186,465
164,495
186,496
185,507
194,517
174,520
171,530
177,535
163,554
156,553
155,572
169,563
185,588
170,592
147,584
118,577
108,582
118,606
115,640
134,644
141,660
174,684
189,682
211,694
220,679
237,672
263,679
266,683
247,697
280,696
272,682
301,686
330,687
344,683
358,685
365,678
379,689
363,696
354,693
346,705
377,718
395,716
409,721
454,723
403,730
392,737
377,745
367,758
375,776
387,784
426,775
449,772
470,774
480,782
505,773
